"","vfinx","veurx","veiex","vbltx","vbisx","vpacx"
"Feb 2010",0.0309183820795231,-0.0106953368643297,0.0107085268746101,-0.00244428824858678,0.00200400006611701,0.0199156980979942
"Mar 2010",0.055865817755711,0.0636175592769059,0.0814996190604467,-0.00462388203400121,-0.00295269918649854,0.0585817101606605
"Apr 2010",0.019911795675827,-0.0289289499806518,0.0026374832413667,0.0305279167143926,0.00651199892523713,-0.0106794610452642
"May 2010",-0.0799597126434674,-0.122383161620686,-0.0931982908889543,0.0143939232079568,0.00381722052692202,-0.0951915475989051
"Jun 2010",-0.0573103986052572,-0.0110092721154333,-0.00041443642612371,0.0419153715668554,0.00856664787857797,-0.0227764253365357
"Jul 2010",0.0754233812942497,0.128942646259443,0.0924545310272031,0.00960727029849751,0.00746666406885077,0.0721417719972117
"Aug 2010",-0.0452980690762113,-0.0431387225231817,-0.0223908028540486,0.0577403322161933,0.00554724028797815,-0.0238094158737818
"Sep 2010",0.0836518081581632,0.113782659931678,0.111801339374717,-0.0113812007432674,0.00271702256467532,0.0774123672069083
"Oct 2010",0.0431423983200236,0.0466459188787278,0.0296786212140416,-0.0225473077639939,0.00448960320082814,0.0226379395147591
"Nov 2010",0,-0.0799265296894537,-0.0271278445782341,-0.013456794666742,-0.00391536638893109,0.00385003145438745
"Dec 2010",0.0621790632056625,0.0488392490697465,0.0575113143637866,-0.0283958752293967,-0.0105035306947592,0.0421856419202409
"Jan 2011",0.0279335891675812,0.0754958398857137,-0.013287095504229,-0.0081146982569561,0.00741898032421973,0.0293235705888804
"Feb 2011",0.0341628129601905,0.0339233499448275,-0.00847429441262604,0.0153098199582418,-0.00113909039433346,0.0405528625405311
"Mar 2011",-0.00391527747926967,-0.00927255937318583,0.0557264230593897,-0.0020992402453538,-0.00227917442738268,-0.0584588977314531
"Apr 2011",0.0338306077080663,0.0820735273156656,0.034650377799192,0.0246564837130616,0.0101124244744042,0.0310443192858656
"May 2011",-0.0114538957041385,-0.0302729358642594,-0.0281691276012218,0.0289977523985734,0.00634462829713556,-0.026459803107138
"Jun 2011",-0.0211619594010848,-0.0205831917655152,-0.0151369652236132,-0.0194357239556605,-0.000282844530106074,0.00562318849149346
"Jul 2011",-0.0160389260518614,-0.0371276670553238,-0.00817535591676388,0.0430631817998868,0.00811651681264913,0.0130473297441349
"Aug 2011",-0.0544644880845812,-0.100764161266053,-0.0857236653382947,0.0439965428531535,0.00338000313922437,-0.0662371747068322
"Sep 2011",-0.0753526964629759,-0.11488633053458,-0.16155772318241,0.0660221463164559,-0.00224605766664654,-0.085714360852454
"Oct 2011",0.114858906779963,0.118829946568734,0.135053553970997,-0.00225533724133065,0.00328808737795883,0.0495692354599475
"Nov 2011",-0.00233665065208222,-0.0330886759955791,-0.0341037469403124,-0.00862248031211643,-0.00234062409558289,-0.0123205820302495
"Dec 2011",0.0045108736001136,-0.0637933792348406,-0.0541388489643696,0.0241098770895225,-0.00150559900503899,-0.0582121777805468
"Jan 2012",0.0505878047608543,0.102469007511983,0.136448817452779,0.0211449159730004,0.0107915455994492,0.102159840721473
"Feb 2012",0.0430686375209954,0.0561265570598803,0.0556176804629214,-0.00504832633641916,-0.000562647335381916,0.0434330868858579
"Mar 2012",0.0285305614536338,0.00162291379698964,-0.0286421189287097,-0.0313154590238583,-0.00159975800205092,0.00297316870123931
"Apr 2012",-0.00224431533812575,-0.0234911159591081,-0.0174737248299405,0.0343556334243775,0.00453021541697951,-0.020750950626628
"May 2012",-0.0601781016394755,-0.119452819971136,-0.110781657609095,0.0477781283557259,0.00122328824546014,-0.0978807307089229
"Jun 2012",0.0359763233187036,0.0772491142082463,0.0483336046662528,-0.00560875333187971,0.000378053942843959,0.0659954457529135
"Jul 2012",0.0187386754856655,0.00699631407815393,0.00635880095179564,0.0453624953064369,0.00499157970435138,-0.0052466673398377
"Aug 2012",0.0223933015894342,0.0447242079398518,0.00434459936522802,-0.00551239514977597,0.00122121344870951,0.00949381208550792
"Sep 2012",0.0208271263538664,0.00997482496693447,0.0408965409919966,-0.00825361427738658,0.00215922574314931,0.00522461459658152
"Oct 2012",-0.0138480970949734,0.0388700338870955,0.00763719335313029,0.0100312199107166,-0.000749123612243441,0.0153239203215745
"Nov 2012",0.00559962459659968,0.024706012655298,0.0132776328954172,0.00192462164106,0.00206741296313107,0.0228451477668812
"Dec 2012",0.00213598486204569,0.027668165394414,0.0486707337496568,-0.0248794944401877,-0.00262736445705158,0.0294419449513017
"Jan 2013",0.0589224660032908,0.0578192966027227,0.0154229173694376,-0.00963705822832495,0.00188090167438082,0.0505536562447335
"Feb 2013",0.0133891145127696,-0.0318564511600306,-0.0173881444013412,0.0099116872250915,0.002075730348716,0.0210122579298109
"Mar 2013",0.0327811854463196,-0.00113468947068063,-0.016612502422696,-0.00337290833726767,5.09652253066761e-07,0.0336764618482546
"Apr 2013",0.0235922846236796,0.0477173249424054,0.0144855586210249,0.0391581429376171,0.00358540177293665,0.0563209788845784
"May 2013",0.0232746015916034,0,-0.0373189811196456,-0.0527782001837597,-0.00470769692348738,-0.0755365434001253
"Jun 2013",-0.0181696393730312,-0.0606170388435837,-0.0733910933636654,-0.0461479651986256,-0.0056818552896899,-0.0139278972619866
"Jul 2013",0.0557272059620919,0.0944682946140016,0.0228708577079988,-0.00262683894522808,0.00276412773260759,0.0289719625168172
"Aug 2013",-0.0291185772426651,-0.0129544945658726,-0.0317780885807905,-0.0151280268340314,-0.00294963694492956,-0.0156678466020868
