"","vfinx","veurx","veiex","vbltx","vbisx","vpacx"
"Dec 2016",199.948196,24.373789,21.922346,12.645419,10.143279,10.583482
"Jan 2017",204.93335,25.192036,23.099047,12.747334,10.167641,11.217291
"Feb 2017",213.054337,25.353645,23.856073,12.97878,10.19008,11.459042
"Mar 2017",212.32402,26.285275,24.36076,12.89369,10.192023,11.633102
"Apr 2017",215.426971,27.506243,24.733467,13.088463,10.234053,11.74924
"May 2017",218.429474,28.824705,25.03474,13.339109,10.256563,12.010765
"Jun 2017",218.83046,28.213245,25.08333,13.467279,10.250681,12.136683
"Jul 2017",224.253555,29.460138,26.567364,13.508416,10.28305,12.543377
"Aug 2017",224.911591,29.498873,27.388428,13.791195,10.316457,12.562884
"Sep 2017",228.427856,30.322052,26.870375,13.650468,10.290875,12.660422
"Oct 2017",234.863846,30.557682,27.835752,13.701841,10.284965,13.277052
"Nov 2017",242.049133,30.596558,27.885178,13.77364,10.250436,13.551209
"Dec 2017",243.608566,30.88814,28.745161,14.038326,10.254374,13.580584
"Jan 2018",258.695587,32.752476,31.290098,13.750295,10.199975,14.401981
"Feb 2018",249.127823,30.750011,29.810966,13.322424,10.175207,13.886208
"Mar 2018",241.73143,30.50581,29.413881,13.488593,10.199017,13.796939
"Apr 2018",243.655746,31.316275,28.83923,13.238088,10.165247,13.862628
"May 2018",249.490265,30.482351,28.024057,13.359934,10.211028,13.723604
"Jun 2018",249.898483,29.589563,26.602474,13.324067,10.216993,13.266813
"Jul 2018",260.299988,31.16,27.610001,13.365835,10.212999,13.47
