"","1%","5%"
"vfinx",-0.078182659870533,-0.0555214461508982
"veurx",-0.127160043586163,-0.0725921477432643
"veiex",-0.117217057146279,-0.0838004357249877
"vbltx",-0.0541522473009718,-0.0318060400372259
"vbisx",-0.00921398563797135,-0.0047577829280955
"vpacx",-0.0999278147734942,-0.0681180307911402
